"com"	"gener"	"COUNT"
91005	"Chomeurs"	298
91013	"Chomeurs"	493
91015	"Chomeurs"	157
91030	"Chomeurs"	699
91034	"Chomeurs"	798
91054	"Chomeurs"	224
91059	"Chomeurs"	250
91064	"Chomeurs"	192
91072	"Chomeurs"	196
91103	"Chomeurs"	183
91114	"Chomeurs"	599
91120	"Chomeurs"	218
91141	"Chomeurs"	314
91142	"Chomeurs"	474
91143	"Chomeurs"	146
92003	"Chomeurs"	1377
92006	"Chomeurs"	200
92035	"Chomeurs"	501
92045	"Chomeurs"	270
92048	"Chomeurs"	510
92054	"Chomeurs"	232
92087	"Chomeurs"	559
92094	"Chomeurs"	5638
92097	"Chomeurs"	200
92101	"Chomeurs"	428
92114	"Chomeurs"	332
92137	"Chomeurs"	1806
92138	"Chomeurs"	209
92140	"Chomeurs"	1007
92141	"Chomeurs"	250
92142	"Chomeurs"	921
93010	"Chomeurs"	301
93014	"Chomeurs"	976
93018	"Chomeurs"	160
93022	"Chomeurs"	579
93056	"Chomeurs"	519
93088	"Chomeurs"	825
93090	"Chomeurs"	427
91005	"Inactifs"	3842
91013	"Inactifs"	5074
91015	"Inactifs"	1734
91030	"Inactifs"	8535
91034	"Inactifs"	7834
91054	"Inactifs"	2566
91059	"Inactifs"	3694
91064	"Inactifs"	2786
91072	"Inactifs"	2521
91103	"Inactifs"	1708
91114	"Inactifs"	7008
91120	"Inactifs"	2698
91141	"Inactifs"	4951
91142	"Inactifs"	3405
91143	"Inactifs"	1748
92003	"Inactifs"	14338
92006	"Inactifs"	3405
92035	"Inactifs"	8052
92045	"Inactifs"	4148
92048	"Inactifs"	5429
92054	"Inactifs"	3490
92087	"Inactifs"	6818
92094	"Inactifs"	62471
92097	"Inactifs"	2396
92101	"Inactifs"	6132
92114	"Inactifs"	4358
92137	"Inactifs"	15883
92138	"Inactifs"	3733
92140	"Inactifs"	10288
92141	"Inactifs"	4607
92142	"Inactifs"	12608
93010	"Inactifs"	2654
93014	"Inactifs"	8119
93018	"Inactifs"	1700
93022	"Inactifs"	6355
93056	"Inactifs"	5045
93088	"Inactifs"	9755
93090	"Inactifs"	3503
91005	"Travailleurs"	2892
91013	"Travailleurs"	3261
91015	"Travailleurs"	1280
91030	"Travailleurs"	6478
91034	"Travailleurs"	4888
91054	"Travailleurs"	1675
91059	"Travailleurs"	3038
91064	"Travailleurs"	2079
91072	"Travailleurs"	1840
91103	"Travailleurs"	1233
91114	"Travailleurs"	4771
91120	"Travailleurs"	2042
91141	"Travailleurs"	3616
91142	"Travailleurs"	1779
91143	"Travailleurs"	882
92003	"Travailleurs"	9796
92006	"Travailleurs"	3005
92035	"Travailleurs"	6714
92045	"Travailleurs"	3392
92048	"Travailleurs"	3965
92054	"Travailleurs"	2994
92087	"Travailleurs"	5305
92094	"Travailleurs"	41656
92097	"Travailleurs"	2101
92101	"Travailleurs"	4965
92114	"Travailleurs"	3442
92137	"Travailleurs"	9789
92138	"Travailleurs"	3200
92140	"Travailleurs"	7195
92141	"Travailleurs"	3996
92142	"Travailleurs"	10176
93010	"Travailleurs"	1865
93014	"Travailleurs"	4673
93018	"Travailleurs"	1025
93022	"Travailleurs"	4214
93056	"Travailleurs"	3401
93088	"Travailleurs"	7512
93090	"Travailleurs"	1841

