Age,Nombre d'hommes,Nombre de femmes
0,64925,61909
1,65716,62366
2,64309,61537
3,63915,61341
4,62889,59827
5,61972,59055
6,60267,57797
7,59927,57164
8,60806,58478
9,61900,59140
10,61011,58672
11,61634,58955
12,62535,59964
13,62512,60106
14,62133,59472
15,63012,59629
16,64858,62381
17,67346,64696
18,68760,65855
19,68207,65888
20,67128,65478
21,66945,65965
22,66099,65728
23,66398,66321
24,64972,65684
25,66357,67099
26,67250,67419
27,69396,69308
28,70888,70686
29,71370,71936
30,71837,70581
31,70668,70231
32,70014,69628
33,69769,68665
34,68912,67751
35,71328,69859
36,73651,71748
37,76106,74745
38,77838,76479
39,79087,76885
40,78568,76370
41,78132,76328
42,79377,76469
43,81283,79081
44,83463,80683
45,85503,83574
46,83937,82079
47,82102,80333
48,81497,80790
49,80787,79465
50,80408,80030
51,78636,77801
52,76881,76204
53,74793,75114
54,73451,74209
55,71903,72394
56,70253,70166
57,69361,69473
58,66024,66833
59,65934,67110
60,65393,66018
61,65222,66966
62,63983,66013
63,63660,65744
64,52808,56065
65,52091,55364
66,48809,52427
67,42547,46013
68,38016,42154
69,41590,47134
70,44049,51068
71,44089,51428
72,41831,48833
73,39337,47747
74,37819,47086
75,37272,47387
76,35710,46590
77,35087,47917
78,33469,46896
79,31212,46039
80,27156,41688
81,24714,39451
82,22250,36769
83,19781,35000
84,17939,32979
85,15561,29895
86,13092,27343
87,10914,23793
88,9128,21142
89,7140,18106
90,4361,11479
91,2299,6823
92,1706,5425
93,1427,4833
94,1230,4550
95,988,4031
96,661,2867
97,349,2022
98,250,1388
99,155,904
100,77,556
101,61,360
102,25,205
103,11,106
104,7,88
105,3,29
106,0,11
107,0,5
108,0,7
109,1,4
