 "gener" "sex"    "dipl"   "statut"     "Freq"
 0.4   Hommes Aucun       Chomeurs                       191
 5.9   Hommes Aucun       Chomeurs                       164
 10.14 Hommes Aucun       Chomeurs                       161
 15.19 Hommes Aucun       Chomeurs                       199
 20.24 Hommes Aucun       Chomeurs                       215
 25.29 Hommes Aucun       Chomeurs                       166
 30.34 Hommes Aucun       Chomeurs                       198
 35.39 Hommes Aucun       Chomeurs                       192
 40.44 Hommes Aucun       Chomeurs                       188
 45.49 Hommes Aucun       Chomeurs                       203
 50.54 Hommes Aucun       Chomeurs                       216
 55.59 Hommes Aucun       Chomeurs                       174
 60.64 Hommes Aucun       Chomeurs                       233
 65.69 Hommes Aucun       Chomeurs                         0
 70.74 Hommes Aucun       Chomeurs                         0
 75.79 Hommes Aucun       Chomeurs                         0
 80.84 Hommes Aucun       Chomeurs                         0
 85.89 Hommes Aucun       Chomeurs                         0
 90.94 Hommes Aucun       Chomeurs                         0
 95.   Hommes Aucun       Chomeurs                         0
 0.4   Femmes Aucun       Chomeurs                       152
 5.9   Femmes Aucun       Chomeurs                       196
 10.14 Femmes Aucun       Chomeurs                       147
 15.19 Femmes Aucun       Chomeurs                       167
 20.24 Femmes Aucun       Chomeurs                       170
 25.29 Femmes Aucun       Chomeurs                       180
 30.34 Femmes Aucun       Chomeurs                       189
 35.39 Femmes Aucun       Chomeurs                       187
 40.44 Femmes Aucun       Chomeurs                       169
 45.49 Femmes Aucun       Chomeurs                       194
 50.54 Femmes Aucun       Chomeurs                       213
 55.59 Femmes Aucun       Chomeurs                       195
 60.64 Femmes Aucun       Chomeurs                       179
 65.69 Femmes Aucun       Chomeurs                         0
 70.74 Femmes Aucun       Chomeurs                         0
 75.79 Femmes Aucun       Chomeurs                         0
 80.84 Femmes Aucun       Chomeurs                         0
 85.89 Femmes Aucun       Chomeurs                         0
 90.94 Femmes Aucun       Chomeurs                         0
 95.   Femmes Aucun       Chomeurs                         0
 0.4   Hommes CITE1       Chomeurs                         0
 5.9   Hommes CITE1       Chomeurs                         0
 10.14 Hommes CITE1       Chomeurs                         0
 15.19 Hommes CITE1       Chomeurs                         0
 20.24 Hommes CITE1       Chomeurs                         0
 25.29 Hommes CITE1       Chomeurs                         0
 30.34 Hommes CITE1       Chomeurs                         0
 35.39 Hommes CITE1       Chomeurs                         0
 40.44 Hommes CITE1       Chomeurs                         0
 45.49 Hommes CITE1       Chomeurs                         0
 50.54 Hommes CITE1       Chomeurs                         0
 55.59 Hommes CITE1       Chomeurs                         0
 60.64 Hommes CITE1       Chomeurs                         0
 65.69 Hommes CITE1       Chomeurs                         0
 70.74 Hommes CITE1       Chomeurs                         0
 75.79 Hommes CITE1       Chomeurs                         0
 80.84 Hommes CITE1       Chomeurs                         0
 85.89 Hommes CITE1       Chomeurs                         0
 90.94 Hommes CITE1       Chomeurs                         0
 95.   Hommes CITE1       Chomeurs                         0
 0.4   Femmes CITE1       Chomeurs                         0
 5.9   Femmes CITE1       Chomeurs                         0
 10.14 Femmes CITE1       Chomeurs                         0
 15.19 Femmes CITE1       Chomeurs                         0
 20.24 Femmes CITE1       Chomeurs                         0
 25.29 Femmes CITE1       Chomeurs                         0
 30.34 Femmes CITE1       Chomeurs                         0
 35.39 Femmes CITE1       Chomeurs                         0
 40.44 Femmes CITE1       Chomeurs                         0
 45.49 Femmes CITE1       Chomeurs                         0
 50.54 Femmes CITE1       Chomeurs                         0
 55.59 Femmes CITE1       Chomeurs                         0
 60.64 Femmes CITE1       Chomeurs                         0
 65.69 Femmes CITE1       Chomeurs                         0
 70.74 Femmes CITE1       Chomeurs                         0
 75.79 Femmes CITE1       Chomeurs                         0
 80.84 Femmes CITE1       Chomeurs                         0
 85.89 Femmes CITE1       Chomeurs                         0
 90.94 Femmes CITE1       Chomeurs                         0
 95.   Femmes CITE1       Chomeurs                         0
 0.4   Hommes CITE2       Chomeurs                         0
 5.9   Hommes CITE2       Chomeurs                         0
 10.14 Hommes CITE2       Chomeurs                         0
